team,player,position
Leicester City,Ron-Robert Zieler,GK
Leicester City,Kasper Schmeichel,GK
Leicester City,Ben Hamer,GK
Leicester City,Robert Huth,DF
Leicester City,Yohan Benalouane,DF
Leicester City,Luis Hernández,DF
Leicester City,Wes Morgan,DF
Leicester City,Liam Moore,DF
Leicester City,Marcin Wasilewski,DF
Leicester City,Jeffrey Schlupp,DF
Leicester City,Christian Fuchs,DF
Leicester City,Danny Simpson,DF
Leicester City,Ritchie De Laet,DF
Leicester City,Nampalys Mendy,MF
Leicester City,Daniel Amartey,MF
Leicester City,N'Golo Kanté,MF
Leicester City,Danny Drinkwater,MF
Leicester City,Gökhan Inler,MF
Leicester City,Andy King,MF
Leicester City,Matty James,MF
Leicester City,Marc Albrighton,MF
Leicester City,Demarai Gray,MF
Leicester City,Riyad Mahrez,MF
Leicester City,Tom Lawrence,FW
Leicester City,Jamie Vardy,FW
Leicester City,Shinji Okazaki,FW
Leicester City,Leonardo Ulloa,FW
Arsenal FC,Wojciech Szczesny,GK
Arsenal FC,Petr Cech,GK
Arsenal FC,David Ospina,GK
Arsenal FC,Emiliano Martínez,GK
Arsenal FC,Matt Macey,GK
Arsenal FC,Laurent Koscielny,DF
Arsenal FC,Per Mertesacker,DF
Arsenal FC,Gabriel Paulista,DF
Arsenal FC,Calum Chambers,DF
Arsenal FC,Nacho Monreal,DF
Arsenal FC,Kieran Gibbs,DF
Arsenal FC,Héctor Bellerín,DF
Arsenal FC,Carl Jenkinson,DF
Arsenal FC,Mathieu Debuchy,DF
Arsenal FC,Francis Coquelin,MF
Arsenal FC,Mohamed Elneny,MF
Arsenal FC,Isaac Hayden,MF
Arsenal FC,Granit Xhaka,MF
Arsenal FC,Aaron Ramsey,MF
Arsenal FC,Santi Cazorla,MF
Arsenal FC,Jack Wilshere,MF
Arsenal FC,Mesut Özil,MF
Arsenal FC,Jon Toral,MF
Arsenal FC,Serge Gnabry,MF
Arsenal FC,Alex Iwobi,MF
Arsenal FC,Alex Oxlade-Chamberlain,MF
Arsenal FC,Wellington Silva,MF
Arsenal FC,Alexis Sánchez,MF
Arsenal FC,Theo Walcott,MF
Arsenal FC,Joel Campbell,MF
Arsenal FC,Olivier Giroud,FW
Arsenal FC,Danny Welbeck,FW
Arsenal FC,Yaya Sanogo,FW
Arsenal FC,Takuma Asano,FW
Arsenal FC,Chuba Akpom,FW
Tottenham Hotspur,Hugo Lloris,GK
Tottenham Hotspur,Michel Vorm,GK
Tottenham Hotspur,Toby Alderweireld,DF
Tottenham Hotspur,Jan Vertonghen,DF
Tottenham Hotspur,Federico Fazio,DF
Tottenham Hotspur,Kevin Wimmer,DF
Tottenham Hotspur,Danny Rose,DF
Tottenham Hotspur,Ben Davies,DF
Tottenham Hotspur,Kyle Walker,DF
Tottenham Hotspur,Kieran Trippier,DF
Tottenham Hotspur,DeAndre Yedlin,DF
Tottenham Hotspur,Eric Dier,MF
Tottenham Hotspur,Victor Wanyama,MF
Tottenham Hotspur,Nabil Bentaleb,MF
Tottenham Hotspur,Dele Alli,MF
Tottenham Hotspur,Mousa Dembélé,MF
Tottenham Hotspur,Ryan Mason,MF
Tottenham Hotspur,Tom Carroll,MF
Tottenham Hotspur,Grant Ward,MF
Tottenham Hotspur,Christian Eriksen,MF
Tottenham Hotspur,Alex Pritchard,MF
Tottenham Hotspur,Josh Onomah,MF
Tottenham Hotspur,Nacer Chadli,MF
Tottenham Hotspur,Érik Lamela,MF
Tottenham Hotspur,Heung-Min Son,MF
Tottenham Hotspur,Harry Kane,FW
Tottenham Hotspur,Clinton N'Jie,FW
Manchester City,Joe Hart,GK
Manchester City,Willy Caballero,GK
Manchester City,Nicolás Otamendi,DF
Manchester City,Vincent Kompany,DF
Manchester City,Eliaquim Mangala,DF
Manchester City,Jason Denayer,DF
Manchester City,Aleksandar Kolarov,DF
Manchester City,Gaël Clichy,DF
